258945;2015-02-05;13:06:00;14:21:00;2015-02-05 13:06:00;2015-02-05 14:21:00;Av. Inajar de Souza, São Paulo - SP, Brazil;-23,4741446;-46,670062
258946;2015-02-05;13:43:00;13:40:00;2015-02-05 13:43:00;2015-02-05 13:40:00;R. Tite de Lemos - Vila Seabra, São Paulo - SP, 08180-375, Brazil;-23,4890875;-46,4047367
258947;2015-02-05;15:34:00;02:00:00;2015-02-05 15:34:00;2015-02-05 02:00:00;R. Miguel Yunes, São Paulo - SP, Brazil;-23,6908195;-46,6862236
258948;2015-02-05;14:07:00;15:57:00;2015-02-05 14:07:00;2015-02-05 15:57:00;Rua Cordão de São Francisco, São Paulo - SP, Brazil;-23,493667;-46,4023129
258949;2015-02-05;17:30:00;02:00:00;2015-02-05 17:30:00;2015-02-05 02:00:00;R. João Alfredo - Santo Amaro, São Paulo - SP, Brazil;-23,6583985;-46,702784
258950;2015-02-05;18:44:00;19:17:00;2015-02-05 18:44:00;2015-02-05 19:17:00;Av. Interlagos, São Paulo - SP, Brazil;-23,6827242;-46,6903178
258951;2015-02-05;18:09:00;18:14:00;2015-02-05 18:09:00;2015-02-05 18:14:00;R. Ptolomeu, São Paulo - SP, Brazil;-23,665473;-46,7193101
258952;2015-02-06;07:30:00;08:50:00;2015-02-06 07:30:00;2015-02-06 08:50:00;Av. Jacu Pêssego/Nova Trabalhadores, São Paulo - SP, Brazil;-23,5980468;-46,4447716
258953;2015-02-06;15:17:00;15:32:00;2015-02-06 15:17:00;2015-02-06 15:32:00;Av. Interlagos, São Paulo - SP, Brazil;-23,6827242;-46,6903178
258954;2015-02-06;15:29:00;15:39:00;2015-02-06 15:29:00;2015-02-06 15:39:00;Av. 23 de Maio, São Paulo - SP, Brazil;-23,5689056;-46,640864
258955;2015-02-06;15:36:00;16:43:00;2015-02-06 15:36:00;2015-02-06 16:43:00;Av. 23 de Maio, São Paulo - SP, Brazil;-23,5689056;-46,640864
258956;2015-02-06;15:39:00;16:28:00;2015-02-06 15:39:00;2015-02-06 16:28:00;Av. Prestes Maia - Centro, São Paulo - SP, Brazil;-23,5399819;-46,6341076
258957;2015-02-06;15:33:00;16:01:00;2015-02-06 15:33:00;2015-02-06 16:01:00;Praça Quatorze Bis - Bela Vista, São Paulo - SP, Brazil;-23,5554925;-46,6500948
258958;2015-02-06;15:41:00;16:05:00;2015-02-06 15:41:00;2015-02-06 16:05:00;R. Paulo Arentino, 870 - Conj. City Jaragua, São Paulo - SP, 02998-270, Brazil;-23,4344468;-46,7357089
258959;2015-02-06;15:41:00;15:30:00;2015-02-06 15:41:00;2015-02-06 15:30:00;Av. Interlagos, São Paulo - SP, Brazil;-23,6827242;-46,6903178
258960;2015-02-06;15:52:00;17:00:00;2015-02-06 15:52:00;2015-02-06 17:00:00;Av. Teresa Cristina, São Paulo - SP, Brazil;-23,5727121;-46,6079424
258961;2015-02-06;16:00:00;16:06:00;2015-02-06 16:00:00;2015-02-06 16:06:00;Av. Vital Brasil, São Paulo - SP, Brazil;-23,570208;-46,7116258
258962;2015-02-06;15:49:00;16:03:00;2015-02-06 15:49:00;2015-02-06 16:03:00;Av. Prof. Abraão de Morais, São Paulo - SP, Brazil;-23,6190603;-46,6280469
258963;2015-02-06;15:48:00;16:04:00;2015-02-06 15:48:00;2015-02-06 16:04:00;Av. 23 de Maio, São Paulo - SP, Brazil;-23,5689056;-46,640864
258964;2015-02-06;16:12:00;17:19:00;2015-02-06 16:12:00;2015-02-06 17:19:00;R. Teixeira Leite - Liberdade, São Paulo - SP, 01325-070, Brazil;-23,5559621;-46,6284359
258965;2015-02-06;16:00:00;16:43:00;2015-02-06 16:00:00;2015-02-06 16:43:00;9 de Julho, São Paulo - SP, Brazil;-23,5666493;-46,6587609
258966;2015-02-06;17:18:00;18:21:00;2015-02-06 17:18:00;2015-02-06 18:21:00;Rua Coronel Marques Ribeiro, São Paulo - SP, Brazil;-23,5087516;-46,6112555
