"w","datetime","min","max","mean","idw","lon","lat"
"1","2016-10-31","","","","-1.0","-46.7653984458","-24.0007326234"
"1","2016-11-01","0.0","0.0","0.0","-288.0","-46.7653984458","-24.0007326234"
"1","2016-11-02","1.53","5.58","3.08","-288.0","-46.7653984458","-24.0007326234"
"1","2016-11-03","3.25","14.15","7.44","-288.0","-46.7653984458","-24.0007326234"
"1","2016-11-04","0.04","0.69","0.21","-288.0","-46.7653984458","-24.0007326234"
"1","2016-11-05","0.0","0.0","0.0","-288.0","-46.7653984458","-24.0007326234"
"1","2016-11-06","0.0","0.0","0.0","-288.0","-46.7653984458","-24.0007326234"
"1","2016-11-07","0.0","0.03","0.0","-288.0","-46.7653984458","-24.0007326234"
"1","2016-11-08","0.0","0.0","0.0","-288.0","-46.7653984458","-24.0007326234"
"1","2016-11-09","22.55","93.98","50.08","-288.0","-46.7653984458","-24.0007326234"
"1","2016-11-10","4.38","18.43","9.61","-288.0","-46.7653984458","-24.0007326234"
"1","2016-11-11","3.41","10.47","6.59","-288.0","-46.7653984458","-24.0007326234"
"1","2016-11-12","0.02","0.26","0.09","-288.0","-46.7653984458","-24.0007326234"
"1","2016-11-13","6.08","19.02","11.61","-288.0","-46.7653984458","-24.0007326234"
"1","2016-11-14","5.24","14.88","9.34","-287.0","-46.7653984458","-24.0007326234"
"1","2016-11-15","","","","-1.0","-46.7653984458","-24.0007326234"
"1","2016-11-16","14.06","41.51","27.18","-288.0","-46.7653984458","-24.0007326234"
"1","2016-11-17","2.4","9.66","5.44","-288.0","-46.7653984458","-24.0007326234"
"1","2016-11-18","0.81","3.83","2.09","-287.0","-46.7653984458","-24.0007326234"
"1","2016-11-19","0.0","0.0","0.0","0.0","-46.7653984458","-24.0007326234"
"1","2016-11-20","0.0","0.0","0.0","0.0","-46.7653984458","-24.0007326234"
"1","2016-11-21","0.0","0.0","0.0","0.0","-46.7653984458","-24.0007326234"
"1","2016-11-22","","","","-1.0","-46.7653984458","-24.0007326234"
"1","2016-11-23","0.0","0.02","0.01","-288.0","-46.7653984458","-24.0007326234"
"1","2016-11-24","0.0","0.0","0.0","-287.0","-46.7653984458","-24.0007326234"
"1","2016-11-25","0.0","0.0","0.0","0.0","-46.7653984458","-24.0007326234"
"1","2016-11-26","","","","-1.0","-46.7653984458","-24.0007326234"
"1","2016-11-27","0.0","0.0","0.0","-288.0","-46.7653984458","-24.0007326234"
"1","2016-11-28","1.69","8.6","4.95","-288.0","-46.7653984458","-24.0007326234"
"1","2016-11-29","9.88","39.72","22.24","-288.0","-46.7653984458","-24.0007326234"
"1","2016-11-30","0.07","0.41","0.19","-287.0","-46.7653984458","-24.0007326234"
"1","2016-12-01","0.0","0.0","0.0","0.0","-46.7653984458","-24.0007326234"
"1","2016-12-02","","","","-1.0","-46.7653984458","-24.0007326234"
"1","2016-12-03","3.83","16.05","8.86","-288.0","-46.7653984458","-24.0007326234"
"1","2016-12-04","0.18","1.55","0.71","-288.0","-46.7653984458","-24.0007326234"
"1","2016-12-05","0.0","0.04","0.0","-287.0","-46.7653984458","-24.0007326234"
"1","2016-12-06","","","","-1.0","-46.7653984458","-24.0007326234"
"1","2016-12-07","0.58","3.29","1.61","-288.0","-46.7653984458","-24.0007326234"
"1","2016-12-08","4.82","12.31","8.72","-288.0","-46.7653984458","-24.0007326234"
"1","2016-12-09","0.0","0.0","0.0","-288.0","-46.7653984458","-24.0007326234"
"1","2016-12-10","3.62","15.76","9.1","-288.0","-46.7653984458","-24.0007326234"
"1","2016-12-11","4.47","13.43","8.16","-288.0","-46.7653984458","-24.0007326234"
"1","2016-12-12","9.07","26.53","16.49","-288.0","-46.7653984458","-24.0007326234"
"1","2016-12-13","1.01","5.71","2.83","-288.0","-46.7653984458","-24.0007326234"
"1","2016-12-14","0.02","0.68","0.25","-288.0","-46.7653984458","-24.0007326234"
"1","2016-12-15","0.0","0.0","0.0","-287.0","-46.7653984458","-24.0007326234"
"1","2016-12-16","0.0","0.0","0.0","0.0","-46.7653984458","-24.0007326234"
"1","2016-12-17","","","","-1.0","-46.7653984458","-24.0007326234"
"1","2016-12-18","0.0","0.0","0.0","-288.0","-46.7653984458","-24.0007326234"
"1","2016-12-19","10.06","56.47","27.36","-288.0","-46.7653984458","-24.0007326234"
"1","2016-12-20","3.5","26.6","11.97","-288.0","-46.7653984458","-24.0007326234"
"1","2016-12-21","9.06","38.9","20.27","-288.0","-46.7653984458","-24.0007326234"
"1","2016-12-22","0.0","0.0","0.0","-288.0","-46.7653984458","-24.0007326234"
"1","2016-12-23","0.27","1.09","0.61","-288.0","-46.7653984458","-24.0007326234"
"1","2016-12-24","0.0","0.03","0.0","-288.0","-46.7653984458","-24.0007326234"
"1","2016-12-25","0.0","0.0","0.0","-288.0","-46.7653984458","-24.0007326234"
"1","2016-12-26","0.0","0.0","0.0","-288.0","-46.7653984458","-24.0007326234"
"1","2016-12-27","0.71","2.92","1.54","-288.0","-46.7653984458","-24.0007326234"
"1","2016-12-28","0.0","0.0","0.0","-288.0","-46.7653984458","-24.0007326234"
"1","2016-12-29","0.0","0.26","0.06","-288.0","-46.7653984458","-24.0007326234"
"1","2016-12-30","0.0","0.0","0.0","-288.0","-46.7653984458","-24.0007326234"
"1","2016-12-31","0.02","0.34","0.13","-287.0","-46.7653984458","-24.0007326234"
"1","2017-01-01","","","","-1.0","-46.7653984458","-24.0007326234"
"1","2017-01-02","13.72","51.83","32.36","-288.0","-46.7653984458","-24.0007326234"
"1","2017-01-03","0.06","0.37","0.17","-288.0","-46.7653984458","-24.0007326234"
"1","2017-01-04","0.01","0.37","0.15","-288.0","-46.7653984458","-24.0007326234"
"1","2017-01-05","0.2","0.92","0.47","-288.0","-46.7653984458","-24.0007326234"
"1","2017-01-06","4.65","30.55","14.16","-288.0","-46.7653984458","-24.0007326234"
"1","2017-01-07","0.25","2.36","0.86","-288.0","-46.7653984458","-24.0007326234"
"1","2017-01-08","0.0","0.03","0.0","-288.0","-46.7653984458","-24.0007326234"
"1","2017-01-09","6.72","19.48","12.6","-288.0","-46.7653984458","-24.0007326234"
"1","2017-01-10","0.0","0.12","0.04","-288.0","-46.7653984458","-24.0007326234"
"1","2017-01-11","5.82","64.18","27.79","-288.0","-46.7653984458","-24.0007326234"
"1","2017-01-12","23.51","106.91","55.64","-288.0","-46.7653984458","-24.0007326234"
"1","2017-01-13","0.0","0.0","0.0","-288.0","-46.7653984458","-24.0007326234"
"1","2017-01-14","0.0","0.0","0.0","-288.0","-46.7653984458","-24.0007326234"
"1","2017-01-15","0.0","0.05","0.0","-288.0","-46.7653984458","-24.0007326234"
"1","2017-01-16","10.53","45.72","23.72","-288.0","-46.7653984458","-24.0007326234"
"1","2017-01-17","13.52","39.51","24.9","-288.0","-46.7653984458","-24.0007326234"
"1","2017-01-18","11.85","37.79","21.84","-288.0","-46.7653984458","-24.0007326234"
"1","2017-01-19","9.21","34.01","19.64","-288.0","-46.7653984458","-24.0007326234"
"1","2017-01-20","4.13","16.53","9.48","-288.0","-46.7653984458","-24.0007326234"
"1","2017-01-21","9.12","38.53","19.37","-288.0","-46.7653984458","-24.0007326234"
"1","2017-01-22","3.94","19.86","10.82","-288.0","-46.7653984458","-24.0007326234"
"1","2017-01-23","2.92","24.97","10.54","-288.0","-46.7653984458","-24.0007326234"
"1","2017-01-24","2.85","15.66","7.06","-288.0","-46.7653984458","-24.0007326234"
"1","2017-01-25","0.42","1.93","1.06","-288.0","-46.7653984458","-24.0007326234"
"1","2017-01-26","5.15","19.66","10.75","-288.0","-46.7653984458","-24.0007326234"
"1","2017-01-27","5.3","23.77","12.96","-288.0","-46.7653984458","-24.0007326234"
"1","2017-01-28","0.03","0.77","0.22","-288.0","-46.7653984458","-24.0007326234"
"1","2017-01-29","0.21","4.1","1.55","-288.0","-46.7653984458","-24.0007326234"
"1","2017-01-30","0.0","0.3","0.1","-288.0","-46.7653984458","-24.0007326234"
"1","2017-01-31","0.25","2.07","0.9","-288.0","-46.7653984458","-24.0007326234"
"1","2017-02-01","8.7","40.26","22.17","-288.0","-46.7653984458","-24.0007326234"
"1","2017-02-02","5.71","22.52","12.88","-288.0","-46.7653984458","-24.0007326234"
"1","2017-02-03","1.28","4.7","2.75","-288.0","-46.7653984458","-24.0007326234"
"1","2017-02-04","3.39","17.11","8.75","-288.0","-46.7653984458","-24.0007326234"
"1","2017-02-05","0.0","1.55","0.4","-288.0","-46.7653984458","-24.0007326234"
"1","2017-02-06","8.06","26.32","16.0","-288.0","-46.7653984458","-24.0007326234"
