"w","datetime","min","max","mean","idw","lon","lat"
"2","2016-10-31","","","","-1.0","-46.7512770176","-23.9781497674"
"2","2016-11-01","0.0","0.03","0.0","-288.0","-46.7512770176","-23.9781497674"
"2","2016-11-02","0.69","13.36","3.55","-288.0","-46.7512770176","-23.9781497674"
"2","2016-11-03","1.1","25.48","7.32","-288.0","-46.7512770176","-23.9781497674"
"2","2016-11-04","0.03","1.11","0.22","-288.0","-46.7512770176","-23.9781497674"
"2","2016-11-05","0.0","0.0","0.0","-288.0","-46.7512770176","-23.9781497674"
"2","2016-11-06","0.0","0.31","0.0","-288.0","-46.7512770176","-23.9781497674"
"2","2016-11-07","0.0","0.03","0.0","-288.0","-46.7512770176","-23.9781497674"
"2","2016-11-08","0.0","0.0","0.0","-288.0","-46.7512770176","-23.9781497674"
"2","2016-11-09","6.01","137.56","51.57","-288.0","-46.7512770176","-23.9781497674"
"2","2016-11-10","1.45","26.48","7.85","-288.0","-46.7512770176","-23.9781497674"
"2","2016-11-11","0.93","17.94","5.34","-288.0","-46.7512770176","-23.9781497674"
"2","2016-11-12","0.0","0.49","0.08","-288.0","-46.7512770176","-23.9781497674"
"2","2016-11-13","3.73","33.98","12.61","-288.0","-46.7512770176","-23.9781497674"
"2","2016-11-14","3.13","23.67","10.06","-287.0","-46.7512770176","-23.9781497674"
"2","2016-11-15","","","","-1.0","-46.7512770176","-23.9781497674"
"2","2016-11-16","6.55","72.34","29.59","-288.0","-46.7512770176","-23.9781497674"
"2","2016-11-17","0.38","17.56","4.42","-288.0","-46.7512770176","-23.9781497674"
"2","2016-11-18","0.15","7.77","1.38","-287.0","-46.7512770176","-23.9781497674"
"2","2016-11-19","0.0","0.0","0.0","0.0","-46.7512770176","-23.9781497674"
"2","2016-11-20","0.0","0.0","0.0","0.0","-46.7512770176","-23.9781497674"
"2","2016-11-21","0.0","0.0","0.0","0.0","-46.7512770176","-23.9781497674"
"2","2016-11-22","","","","-1.0","-46.7512770176","-23.9781497674"
"2","2016-11-23","0.0","0.07","0.0","-288.0","-46.7512770176","-23.9781497674"
"2","2016-11-24","0.0","0.0","0.0","-287.0","-46.7512770176","-23.9781497674"
"2","2016-11-25","0.0","0.0","0.0","0.0","-46.7512770176","-23.9781497674"
"2","2016-11-26","","","","-1.0","-46.7512770176","-23.9781497674"
"2","2016-11-27","0.0","3.52","0.31","-288.0","-46.7512770176","-23.9781497674"
"2","2016-11-28","0.25","24.85","4.25","-288.0","-46.7512770176","-23.9781497674"
"2","2016-11-29","2.33","53.92","14.07","-288.0","-46.7512770176","-23.9781497674"
"2","2016-11-30","0.0","1.26","0.24","-287.0","-46.7512770176","-23.9781497674"
"2","2016-12-01","0.0","0.0","0.0","0.0","-46.7512770176","-23.9781497674"
"2","2016-12-02","","","","-1.0","-46.7512770176","-23.9781497674"
"2","2016-12-03","1.69","43.47","12.88","-288.0","-46.7512770176","-23.9781497674"
"2","2016-12-04","0.0","2.97","0.39","-288.0","-46.7512770176","-23.9781497674"
"2","2016-12-05","0.0","0.16","0.03","-287.0","-46.7512770176","-23.9781497674"
"2","2016-12-06","","","","-1.0","-46.7512770176","-23.9781497674"
"2","2016-12-07","0.26","8.07","2.16","-288.0","-46.7512770176","-23.9781497674"
